addressId,subscriberId,associatedDocument,startDate,finishDate,orderType,addressChangeFlag,productType,priorityFlag,priorityReason,statusCode,scenario
1,001,DOC001,2021-01-01,2021-12-31,OT0001,Y,PT0001,1,PR001,200,"success"
2,002,DOC002,2021-01-01,2021-12-31,OT0002,N,PT0002,1,PR002,400,"Bad Request"
3,003,DOC003,2021-01-01,2021-12-31,OT0003,Y,PT0003,0,PR003,401,"Unauthorized"
4,004,DOC004,2021-01-01,2021-12-31,OT0004,N,PT0004,1,PR004,403,"Forbidden - Scope Not Permitted"
5,005,DOC005,2021-01-01,2021-12-31,OT0005,Y,PT0005,0,PR005,404,"Not Found"
6,006,DOC006,2021-01-01,2021-12-31,OT0006,N,PT0006,1,PR006,406,"Not Acceptable"
7,007,DOC007,2021-01-01,2021-12-31,OT0007,Y,PT0007,0,PR007,412,"Precondition Failed"
8,008,DOC008,2021-01-01,2021-12-31,OT0008,N,PT0008,1,PR008,429,"Too Many Requests - Exceeded Quota"
9,009,DOC009,2021-01-01,2021-12-31,OT0009,Y,PT0009,0,PR009,500,"Internal Server Error"
10,010,DOC010,2021-01-01,2021-12-31,OT0010,N,PT0010,1,PR010,503,"Service Unavailable"
11,011,DOC011,2021-01-01,2021-12-31,OT0011,Y,PT0011,0,PR011,504,"Gateway Timeout"
